,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.97,0.9733333333333334,0.9733333333333334,0.96,0.9766666666666668,0.96,0.97,0.9666666666666668,0.9566666666666668,0.9533333333333334,0.96,0.9633333333333334,0.9733333333333334,0.9533333333333334,0.98,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.9433333333333334,0.9533333333333334,0.96,0.9433333333333334,0.9633333333333334,0.95,0.9633333333333334,0.9566666666666668,0.9733333333333334,0.9633333333333334,0.9533333333333334,0.9633333333333334
AtrialFibrillation,0.3333333333333333,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.2,0.2,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.2,0.1333333333333333,0.4,0.4,0.2,0.4,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2,0.2,0.4,0.4666666666666667,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2666666666666666
BasicMotions,0.7,0.875,0.7,0.85,0.8,0.775,0.85,0.675,0.8,0.775,0.725,0.75,0.75,0.825,0.825,0.85,0.8,0.825,0.75,0.9,0.8,0.85,0.8,0.85,0.7,0.8,0.725,0.8,0.85,0.9
Cricket,0.9027777777777778,0.9444444444444444,0.9444444444444444,0.875,0.8888888888888888,0.9444444444444444,0.9027777777777778,0.9583333333333334,0.9444444444444444,0.9444444444444444,0.9305555555555556,0.9722222222222222,0.9444444444444444,0.8888888888888888,0.9027777777777778,0.9027777777777778,0.9722222222222222,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9305555555555556,0.9166666666666666,0.8611111111111112,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.9305555555555556,0.9583333333333334,0.9305555555555556
DuckDuckGeese,0.2,0.2,0.24,0.2,0.2,0.28,0.18,0.24,0.2,0.2,0.2,0.2,0.2,0.18,0.2,0.22,0.22,0.26,0.22,0.2,0.18,0.2,0.2,0.16,0.24,0.18,0.2,0.14,0.22,0.2
ERing,0.9333333333333332,0.9407407407407408,0.8925925925925926,0.9037037037037036,0.937037037037037,0.9185185185185184,0.9111111111111112,0.9222222222222224,0.9333333333333332,0.8962962962962963,0.8888888888888888,0.8296296296296296,0.9296296296296296,0.9518518518518518,0.9222222222222224,0.8703703703703703,0.9333333333333332,0.8481481481481481,0.9111111111111112,0.9222222222222224,0.9148148148148147,0.9185185185185184,0.937037037037037,0.9407407407407408,0.937037037037037,0.9074074074074074,0.925925925925926,0.9074074074074074,0.925925925925926,0.8592592592592593
Epilepsy,0.7608695652173914,0.5507246376811594,0.5869565217391305,0.6231884057971014,0.5579710144927537,0.3985507246376811,0.7246376811594203,0.463768115942029,0.5144927536231884,0.6884057971014492,0.6014492753623188,0.6014492753623188,0.4710144927536231,0.6014492753623188,0.6231884057971014,0.644927536231884,0.5869565217391305,0.6956521739130435,0.4710144927536231,0.5579710144927537,0.7028985507246377,0.5579710144927537,0.6739130434782609,0.6956521739130435,0.5942028985507246,0.6304347826086957,0.6159420289855072,0.6304347826086957,0.6086956521739131,0.6594202898550725
EthanolConcentration,0.2927756653992395,0.3688212927756654,0.3916349809885932,0.3574144486692015,0.3193916349809886,0.3155893536121673,0.3155893536121673,0.3574144486692015,0.3536121673003802,0.2661596958174905,0.3155893536121673,0.3155893536121673,0.3612167300380228,0.3650190114068441,0.3193916349809886,0.3193916349809886,0.3155893536121673,0.3802281368821292,0.3041825095057034,0.3269961977186312,0.3193916349809886,0.3574144486692015,0.3041825095057034,0.3802281368821292,0.2737642585551331,0.3574144486692015,0.3422053231939163,0.3041825095057034,0.3269961977186312,0.311787072243346
FaceDetection,0.5893870601589103,0.5649829738933031,0.5209988649262202,0.6416004540295119,0.5845629965947786,0.568955732122588,0.5584562996594779,0.511066969353008,0.5391600454029511,0.5139046538024972,0.5422814982973894,0.5286606129398411,0.5082292849035187,0.5309307604994324,0.6523836549375709,0.5556186152099887,0.5198637911464246,0.5158910329171397,0.6319523269012486,0.5025539160045402,0.684733257661748,0.5856980703745743,0.6478433598183881,0.6552213393870602,0.6345062429057888,0.514472190692395,0.5306469920544835,0.5025539160045402,0.5085130533484676,0.5053916004540295
FingerMovements,0.5,0.51,0.58,0.57,0.5,0.47,0.46,0.49,0.54,0.5,0.47,0.55,0.55,0.51,0.56,0.55,0.51,0.54,0.55,0.43,0.47,0.53,0.5,0.55,0.59,0.53,0.52,0.56,0.51,0.56
