,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.96,0.97,0.9733333333333334,0.9566666666666668,0.96,0.9533333333333334,0.97,0.9666666666666668,0.9533333333333334,0.9533333333333334,0.9633333333333334,0.9633333333333334,0.97,0.9533333333333334,0.9833333333333332,0.9666666666666668,0.96,0.9666666666666668,0.9466666666666668,0.9533333333333334,0.9566666666666668,0.9333333333333332,0.9633333333333334,0.9566666666666668,0.9633333333333334,0.9566666666666668,0.9633333333333334,0.9633333333333334,0.9466666666666668,0.96
AtrialFibrillation,0.3333333333333333,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.1333333333333333,0.2,0.2,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.2,0.1333333333333333,0.4,0.4,0.2,0.4,0.2666666666666666,0.4,0.2666666666666666,0.2,0.2,0.4,0.4666666666666667,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2666666666666666
BasicMotions,0.7,0.875,0.7,0.85,0.825,0.775,0.875,0.675,0.8,0.75,0.7,0.75,0.75,0.825,0.85,0.85,0.8,0.825,0.75,0.9,0.8,0.85,0.8,0.875,0.7,0.8,0.7,0.725,0.85,0.9
Cricket,0.9305555555555556,0.9583333333333334,0.9583333333333334,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9027777777777778,0.9583333333333334,0.9444444444444444,0.9583333333333334,0.9305555555555556,0.9722222222222222,0.9444444444444444,0.9027777777777778,0.9166666666666666,0.9027777777777778,0.9722222222222222,0.8888888888888888,0.9444444444444444,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.8611111111111112,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.9166666666666666,0.9305555555555556,0.9444444444444444
DuckDuckGeese,0.2,0.18,0.18,0.22,0.2,0.24,0.18,0.16,0.2,0.18,0.2,0.18,0.2,0.16,0.18,0.18,0.2,0.22,0.2,0.22,0.2,0.2,0.18,0.18,0.2,0.14,0.2,0.14,0.22,0.2
ERing,0.9333333333333332,0.9407407407407408,0.8925925925925926,0.9037037037037036,0.937037037037037,0.9148148148148147,0.9148148148148147,0.9222222222222224,0.9296296296296296,0.8888888888888888,0.8925925925925926,0.8296296296296296,0.925925925925926,0.9555555555555556,0.9185185185185184,0.8740740740740741,0.9333333333333332,0.8481481481481481,0.9037037037037036,0.925925925925926,0.9185185185185184,0.9185185185185184,0.9407407407407408,0.9407407407407408,0.937037037037037,0.9,0.9185185185185184,0.9148148148148147,0.925925925925926,0.8555555555555555
Epilepsy,0.7028985507246377,0.4202898550724637,0.5072463768115942,0.5072463768115942,0.5,0.3550724637681159,0.7028985507246377,0.391304347826087,0.427536231884058,0.644927536231884,0.5217391304347826,0.463768115942029,0.3768115942028985,0.5362318840579711,0.5144927536231884,0.6304347826086957,0.5362318840579711,0.6956521739130435,0.391304347826087,0.4565217391304347,0.6666666666666666,0.5072463768115942,0.5869565217391305,0.6594202898550725,0.5652173913043478,0.5217391304347826,0.5797101449275363,0.5434782608695652,0.5144927536231884,0.5507246376811594
EthanolConcentration,0.2889733840304182,0.3726235741444867,0.4068441064638783,0.3612167300380228,0.3231939163498099,0.311787072243346,0.3079847908745247,0.3650190114068441,0.3650190114068441,0.2661596958174905,0.3155893536121673,0.3307984790874524,0.3536121673003802,0.3612167300380228,0.3193916349809886,0.3269961977186312,0.311787072243346,0.3802281368821292,0.3003802281368821,0.338403041825095,0.3079847908745247,0.3536121673003802,0.3079847908745247,0.3840304182509506,0.2775665399239543,0.3726235741444867,0.3536121673003802,0.3041825095057034,0.3231939163498099,0.3155893536121673
FaceDetection,0.5862656072644722,0.5587400681044268,0.5093643586833144,0.6364926220204313,0.5740635641316686,0.5576049943246311,0.5496594778660613,0.507094211123723,0.5337684449489217,0.5073779795686719,0.5309307604994324,0.5195800227014756,0.5051078320090806,0.5184449489216799,0.6492622020431328,0.5462542565266743,0.5153234960272418,0.5127695800227015,0.6228717366628831,0.5002837684449489,0.6816118047673099,0.5766174801362088,0.6444381384790011,0.6535187287173666,0.6285471055618616,0.5082292849035187,0.5263904653802497,0.5005675368898979,0.503405221339387,0.5014188422247446
FingerMovements,0.5,0.51,0.6,0.57,0.49,0.49,0.46,0.49,0.54,0.51,0.48,0.57,0.55,0.51,0.57,0.55,0.5,0.54,0.55,0.44,0.46,0.52,0.51,0.55,0.6,0.53,0.53,0.57,0.51,0.56
