,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.96,0.9666666666666668,0.9533333333333334,0.95,0.9633333333333334,0.9566666666666668,0.96,0.96,0.9366666666666666,0.9466666666666668,0.9533333333333334,0.97,0.95,0.9433333333333334,0.9633333333333334,0.9566666666666668,0.9533333333333334,0.9566666666666668,0.9266666666666666,0.95,0.95,0.95,0.9533333333333334,0.95,0.95,0.9533333333333334,0.9633333333333334,0.9433333333333334,0.9366666666666666,0.9333333333333332
AtrialFibrillation,0.4,0.5333333333333333,0.3333333333333333,0.2666666666666666,0.2,0.4666666666666667,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.0666666666666666,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.4,0.4,0.6,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.1333333333333333
BasicMotions,0.725,0.9,0.775,0.85,0.8,0.8,0.925,0.675,0.825,0.775,0.75,0.85,0.725,0.775,0.85,0.8,0.825,0.85,0.825,0.9,0.825,0.85,0.8,0.85,0.7,0.85,0.775,0.825,0.85,0.975
Cricket,0.8888888888888888,0.9027777777777778,0.875,0.8472222222222222,0.8333333333333334,0.875,0.8472222222222222,0.9166666666666666,0.9166666666666666,0.9027777777777778,0.9166666666666666,0.9305555555555556,0.9305555555555556,0.875,0.8611111111111112,0.9027777777777778,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9027777777777778,0.8888888888888888,0.875,0.8194444444444444,0.8888888888888888,0.875,0.9027777777777778,0.9166666666666666,0.9305555555555556,0.9305555555555556,0.8888888888888888
DuckDuckGeese,0.2,0.2,0.22,0.18,0.2,0.24,0.2,0.24,0.2,0.18,0.2,0.2,0.2,0.16,0.22,0.22,0.16,0.32,0.24,0.2,0.2,0.2,0.22,0.18,0.24,0.18,0.2,0.14,0.2,0.2
ERing,0.8296296296296296,0.8851851851851852,0.8222222222222222,0.8666666666666667,0.8925925925925926,0.8592592592592593,0.8777777777777778,0.8555555555555555,0.8888888888888888,0.8629629629629629,0.8481481481481481,0.8222222222222222,0.8740740740740741,0.8703703703703703,0.8555555555555555,0.837037037037037,0.8629629629629629,0.8481481481481481,0.8148148148148148,0.8333333333333334,0.8407407407407408,0.8481481481481481,0.8962962962962963,0.8555555555555555,0.9,0.8296296296296296,0.8888888888888888,0.8518518518518519,0.8962962962962963,0.7888888888888889
Epilepsy,0.6956521739130435,0.5289855072463768,0.5652173913043478,0.572463768115942,0.5362318840579711,0.4057971014492754,0.7463768115942029,0.4710144927536231,0.4492753623188406,0.6811594202898551,0.5579710144927537,0.5579710144927537,0.4202898550724637,0.5869565217391305,0.6086956521739131,0.6811594202898551,0.572463768115942,0.7028985507246377,0.4202898550724637,0.5797101449275363,0.6594202898550725,0.5434782608695652,0.6594202898550725,0.7028985507246377,0.5579710144927537,0.572463768115942,0.6014492753623188,0.6086956521739131,0.6014492753623188,0.6594202898550725
EthanolConcentration,0.3003802281368821,0.3726235741444867,0.3878326996197718,0.3269961977186312,0.3155893536121673,0.3041825095057034,0.311787072243346,0.3498098859315589,0.3612167300380228,0.2661596958174905,0.3346007604562737,0.3003802281368821,0.338403041825095,0.3460076045627376,0.3155893536121673,0.2927756653992395,0.311787072243346,0.3878326996197718,0.2927756653992395,0.3193916349809886,0.3269961977186312,0.3231939163498099,0.2775665399239543,0.3688212927756654,0.3041825095057034,0.3536121673003802,0.3574144486692015,0.2927756653992395,0.3079847908745247,0.3307984790874524
FaceDetection,0.5876844494892168,0.5610102156640182,0.5192962542565267,0.6370601589103292,0.5803064699205448,0.5649829738933031,0.5556186152099887,0.5099318955732123,0.5368898978433598,0.5119182746878547,0.5394438138479001,0.5255391600454029,0.5085130533484676,0.5283768444948922,0.6461407491486947,0.5524971623155505,0.5187287173666288,0.514755959137344,0.6259931895573212,0.5025539160045402,0.6779228149829739,0.5808740068104427,0.6424517593643587,0.6512485811577753,0.6254256526674233,0.5133371169125993,0.5303632236095346,0.5022701475595914,0.5076617480136209,0.5045402951191827
FingerMovements,0.52,0.53,0.6,0.55,0.49,0.5,0.48,0.49,0.53,0.5,0.5,0.55,0.54,0.52,0.55,0.53,0.52,0.55,0.53,0.43,0.47,0.57,0.48,0.53,0.56,0.53,0.51,0.54,0.49,0.54
