,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.9766666666666668,0.9566666666666668,0.9766666666666668,0.98,0.9833333333333332,0.9733333333333334,0.97,0.9833333333333332,0.98,0.9666666666666668,0.98,0.98,0.9866666666666668,0.9766666666666668,0.9933333333333332,0.9766666666666668,0.9733333333333334,0.9733333333333334,0.9566666666666668,0.98,0.9666666666666668,0.9633333333333334,0.9866666666666668,0.9733333333333334,0.98,0.98,0.9733333333333334,0.9833333333333332,0.98,0.97
AtrialFibrillation,0.4666666666666667,0.2,0.2666666666666666,0.4,0.4666666666666667,0.3333333333333333,0.2666666666666666,0.2,0.2666666666666666,0.2,0.4,0.2666666666666666,0.2,0.0666666666666666,0.2666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.2,0.2666666666666666,0.4,0.4,0.2666666666666666,0.2666666666666666,0.2,0.2666666666666666,0.3333333333333333,0.3333333333333333
BasicMotions,0.95,1.0,0.975,0.975,1.0,0.975,1.0,0.975,1.0,0.95,0.975,0.95,0.95,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.975,0.975,1.0,0.975,0.95,1.0,1.0,1.0,0.95,0.975
Cricket,1.0,0.9861111111111112,0.9722222222222222,0.9305555555555556,0.9444444444444444,0.9583333333333334,0.9444444444444444,0.9861111111111112,0.9583333333333334,1.0,0.9722222222222222,1.0,1.0,0.9583333333333334,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9722222222222222,0.9861111111111112,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,0.9722222222222222
DuckDuckGeese,0.36,0.36,0.48,0.44,0.76,0.42,0.58,0.4,0.4,0.68,0.68,0.66,0.74,0.42,0.42,0.28,0.66,0.42,0.6,0.48,0.5,0.78,0.34,0.44,0.62,0.68,0.64,0.66,0.74,0.7
Epilepsy,0.8623188405797102,0.8260869565217391,0.8405797101449275,0.8913043478260869,0.855072463768116,0.8115942028985508,0.7971014492753623,0.855072463768116,0.8333333333333334,0.8260869565217391,0.8115942028985508,0.717391304347826,0.855072463768116,0.7971014492753623,0.8043478260869565,0.8115942028985508,0.8405797101449275,0.8043478260869565,0.8768115942028986,0.8478260869565217,0.8405797101449275,0.8260869565217391,0.8985507246376812,0.8405797101449275,0.8840579710144928,0.8695652173913043,0.8115942028985508,0.8768115942028986,0.855072463768116,0.8115942028985508
ERing,0.937037037037037,0.9333333333333332,0.9111111111111112,0.937037037037037,0.9518518518518518,0.9481481481481482,0.9074074074074074,0.9481481481481482,0.9148148148148147,0.9185185185185184,0.9037037037037036,0.9111111111111112,0.9185185185185184,0.937037037037037,0.9185185185185184,0.9037037037037036,0.9333333333333332,0.8629629629629629,0.9111111111111112,0.9148148148148147,0.9407407407407408,0.9407407407407408,0.9222222222222224,0.9407407407407408,0.9222222222222224,0.9333333333333332,0.937037037037037,0.9407407407407408,0.937037037037037,0.8777777777777778
EthanolConcentration,0.2509505703422053,0.2775665399239543,0.2509505703422053,0.2737642585551331,0.2395437262357414,0.2889733840304182,0.2509505703422053,0.2813688212927757,0.2889733840304182,0.2965779467680608,0.2965779467680608,0.2661596958174905,0.2775665399239543,0.2851711026615969,0.2889733840304182,0.2737642585551331,0.2775665399239543,0.2775665399239543,0.2737642585551331,0.2623574144486692,0.3079847908745247,0.3231939163498099,0.2585551330798479,0.2699619771863117,0.2851711026615969,0.2699619771863117,0.3041825095057034,0.2889733840304182,0.2813688212927757,0.2129277566539923
FaceDetection,0.5394438138479001,0.5187287173666288,0.5085130533484676,0.5229852440408627,0.4977298524404086,0.5022701475595914,0.5229852440408627,0.5053916004540295,0.5451191827468785,0.529228149829739,0.4994324631101021,0.5306469920544835,0.5073779795686719,0.5170261066969353,0.5207150964812712,0.521850170261067,0.5490919409761634,0.4991486946651532,0.5198637911464246,0.5184449489216799,0.5255391600454029,0.499716231555051,0.5102156640181612,0.5229852440408627,0.5022701475595914,0.5232690124858116,0.5224177071509648,0.503405221339387,0.5479568671963677,0.499716231555051
FingerMovements,0.49,0.52,0.52,0.57,0.5,0.48,0.44,0.5,0.54,0.51,0.39,0.57,0.42,0.51,0.52,0.45,0.46,0.56,0.53,0.56,0.46,0.51,0.5,0.51,0.52,0.52,0.5,0.54,0.53,0.46
HandMovementDirection,0.5342465753424658,0.5205479452054794,0.589041095890411,0.547945205479452,0.5753424657534246,0.5342465753424658,0.5616438356164384,0.589041095890411,0.5205479452054794,0.6027397260273972,0.5753424657534246,0.5616438356164384,0.4794520547945205,0.589041095890411,0.589041095890411,0.5068493150684932,0.4794520547945205,0.4794520547945205,0.4931506849315068,0.547945205479452,0.6027397260273972,0.589041095890411,0.5068493150684932,0.6301369863013698,0.5068493150684932,0.6164383561643836,0.4520547945205479,0.4657534246575342,0.5616438356164384,0.5616438356164384
Handwriting,0.3411764705882353,0.2823529411764706,0.3070588235294118,0.3388235294117647,0.3341176470588235,0.3388235294117647,0.32,0.3258823529411764,0.3458823529411765,0.2964705882352941,0.3129411764705882,0.3070588235294118,0.2964705882352941,0.3,0.2964705882352941,0.3505882352941176,0.3152941176470588,0.3117647058823529,0.3105882352941176,0.3223529411764705,0.2964705882352941,0.3070588235294118,0.3364705882352941,0.3223529411764705,0.3094117647058823,0.3176470588235294,0.3164705882352941,0.3023529411764706,0.2764705882352941,0.3635294117647059
Heartbeat,0.6634146341463415,0.6878048780487804,0.697560975609756,0.6634146341463415,0.5414634146341464,0.6487804878048781,0.5902439024390244,0.6829268292682927,0.6926829268292682,0.7073170731707317,0.5804878048780487,0.551219512195122,0.4439024390243902,0.6829268292682927,0.5902439024390244,0.6731707317073171,0.7317073170731707,0.7073170731707317,0.7463414634146341,0.6829268292682927,0.4634146341463415,0.6097560975609756,0.7414634146341463,0.697560975609756,0.6439024390243903,0.7365853658536585,0.6731707317073171,0.7170731707317073,0.6585365853658537,0.7073170731707317
Libras,0.7777777777777778,0.6833333333333333,0.75,0.6833333333333333,0.7944444444444444,0.8277777777777777,0.7388888888888889,0.7166666666666667,0.75,0.7222222222222222,0.7777777777777778,0.7388888888888889,0.8277777777777777,0.8166666666666667,0.6888888888888889,0.7555555555555555,0.7944444444444444,0.8222222222222222,0.7111111111111111,0.7888888888888889,0.7722222222222223,0.7777777777777778,0.7666666666666667,0.7944444444444444,0.6888888888888889,0.8277777777777777,0.7666666666666667,0.7666666666666667,0.7222222222222222,0.7277777777777777
